编号,内容,"评判维度：物价、交通、卫生、环境、安全、服务、游览、购物
评分规则：高到低，依次为5分，4分，3分，2分，1分",维度,评分（5分制）,关键词判断（从句子中的某些词语得到关键词）
1,整体评论,2环内的酒店，出行地铁有1号线2号线，去天安门可坐公交52路，票价2元，打车可用滴滴专车，路口等车更快更便捷，房间整洁干净，酒店提供的茶叶符合我的口味，洗手液也很好，娃娃洗手很方便，酒店除了洗发还提供护发产品，浴室里有挂绳，可以晾衣服，地理位置闹中取静，大堂还有书吧可供您休息阅读,总体,5,
,分句1,2环内的酒店,交通,2,二环
,分句2,出行地铁有1号线2号线,交通,3,地铁
,分句3,去天安门可坐公交52路,交通,5,天安门
,分句4,票价2元,物价,3,票价
,分句5,打车可用滴滴专车,游览,4,打车
,分句6,路口等车更快更便捷,交通,4,便捷
,分句7,房间整洁干净,环境,4,整洁
,分句8,酒店提供的茶叶符合我的口味,无,4,口味
,分句9,洗手液也很好,卫生,3,无
,分句10,娃娃洗手很方便,服务,3,方便
,分句11,酒店除了洗发还提供护发产品,卫生,5,无
,分句12,浴室里有挂绳,服务,3,无
,分句13,可以晾衣服,服务,3,无
,分句14,地理位置闹中取静,无,5,安静
,分句15,大堂还有书吧可供您休息阅读,服务,5,休息
,,,,,
2,整体评论,每次去北京都住亚朵S，房间虽不大但很温馨，服务很热情让人很温暖，酒店文化氛围很浓，品质高。早餐也很好，离金融街很近，附近长椿街上有几家饭店，吃饭还算方便，位置离北京西站很近，5分钟车距。,总体,5,
,分句1,每次去北京都住亚朵S,无,5,酒店
,分句2,有高尔夫球房间虽不大但很温馨,服务,5,高尔夫球
,分句3,服务很热情让人很温暖,服务,4,热情
,分句4,酒店文化氛围很浓,服务,4,文化
,分句5,品质高,服务,3,品质
,分句6,早餐也很好,服务,3,早餐
,分句7,离金融街很近,交通,3,金融街
,分句8,附近长椿街上有几家饭店,环境,4,长椿街
,分句9,吃饭还算方便,服务,3,方便
,分句10,位置离北京西站很近,交通,4,西站
,分句11,5分钟车距,交通,4,车距
,,,,,
3,整体评论,位置好，离故宫长城很方便，地铁2号线或67路公交直达，离最近地铁走路8分钟,总体,4,
,分句1,位置好,交通,3,位置
,分句2,离故宫长城很方便,交通,3,故宫
,分句3,地铁2号线或67路公交直达,交通,4,公交
,分句4,离最近地铁走路8分钟,交通,3,地铁
,,,,,
4,整体评论,极差的酒店，不知道评分怎么那么高！在犄角旮旯里，旧楼改造。没有停车的地方，要到对面商务楼付费停车。房间不通风，闷热，五一后才有冷空调。这个价格非常不好，很失望！,总体,5,
,分句1,极差的酒店,无,2,无
,分句2,不知道评分怎么那么高,无,3,评分
,分句3,在犄角旮旯里,环境,5,无
,分句4,旧楼改造,环境,3,无
,分句5,没有停车的地方,环境,4,无
,分句6,要到对面商务楼付费停车,物价,4,付费
,分句7,闷热,环境,4,热
,分句8,五一后才有冷空调,无,4,无
,分句9,这个价格非常不好,无,3,无
,,,,,
5,整体评论,真心不错。环境优雅。价格公道。超出自己的预期，交通方便的同时兼具了入住肃静。四周都是传统的四合院建筑。赏心悦目，意外的看到了镶红旗都统衙门的旧址。还有鲁迅笔下《纪念刘和珍君》的京师女子师范学院。以及克勤郡王府。住这个酒店非常超值。很北京。,总体,5,
,分句1,真心不错,无,3,无
,分句2,环境优雅,环境,3,环境
,分句3,价格公道,物价,3,价格
,分句4,交通方便的同时兼具了入住肃静,交通,4,交通
,分句5,四周都是传统的四合院建筑,环境,4,建筑
,分句6,赏心悦目,无,3,无
,分句7,意外的看到了镶红旗都统衙门的旧址。,环境,4,无
,分句8,还有鲁迅笔下《纪念刘和珍君》的京师女子师范学院,环境,5,无
,分句9,以及克勤郡王府,环境,4,无
,分句10,住这个酒店非常超值,无,5,方便
,分句11,很北京,无,4,无
,,,,,
6,整体评论,人文酒店一直想尝试一下 配色和阅览空间都很喜欢。还有共享的洗衣房，对于长期出差的常住客感觉会更方便。,总体,3,
,分句1,人文酒店一直想尝试一下,无,2,无
,分句2,配色和阅览空间都很喜欢,环境,3,阅览
,分句3,还有共享的洗衣房,服务,5,共享
,分句4,对于长期出差的常住客感觉会更方便。,无,3,方便
,,,,,
7,整体评论,酒店设施不错 我喜欢的风格 早餐也很丰富 当时定了两个房间其中有一个大床房木有窗户 不开空调有点闷  酒店枕头赞一个,总体,4,
,分句1,酒店设施不错,无,3,设施
,分句2,我喜欢的风格,无,3,风格
,分句3,早餐也很丰富,服务,3,丰富
,分句4,当时定了两个房间其中有一个大床房木有窗户,无,4,无
,分句5,不开空调有点闷,无,3,无
,分句6,酒店枕头赞一个,服务,3,无
,,,,,
8,整体评论,酒店位置离地铁站有点距离，但也能10到15分钟到达，整体体验非常不错，早餐种类比较多，吃的很饱，就是有一点闹心，问前台借了一根数据线，充不进去，不知道是线的原因还是插头的问题,总体,5,
,分句1,酒店位置离地铁站有点距离,交通,4,地铁
,分句2,但也能10到15分钟到达,交通,3,无
,分句3,整体体验非常不错,无,3,体验
,分句4,早餐种类比较多,服务,3,种类
,分句5,吃的很饱,服务,3,饱
,分句6,就是有一点闹心,无,3,无
,分句7,问前台借了一根数据线,无,3,无
,分句8,充不进去,无,3,无
,分句9,不知道是线的原因还是插头的问题,无,3,无
,,,,,
9,整体评论,一家出来旅游，由于距离天安门比价近就预订的这家店，这家酒店意外发现一楼有一个大堂吧有很多的书可以免费看，不仅能带到房间看还能免费带走，真的是意外惊喜.一会那个小伙端了三杯热乎乎的牛奶就上来的，小伙说看了下系统住了3位就准备了3杯，瞬间让我对酒店产生了好感。第二天精神饱满的出去玩了一天，原本计划的下一个目的地进行了延迟，又续住了2天。,总体,5,
,分句1,一家出来旅游,无,2,无
,分句2,由于距离天安门比价近就预订的这家店,交通,3,天安门
